Temporada,Rodada,Mandante,Visitante,Mandante Placar,Visitante Placar
2009,20,coritiba,palmeiras,1,0
2009,20,flamengo,cruzeiro,1,2
2009,20,internacional,corinthians,1,2
2009,20,náutico,goiás,2,0
2009,20,santos,grêmio,1,0
2009,20,são paulo,fluminense,1,0
2009,20,vitória,athlético-pr,2,1
2009,21,athlético-pr,são paulo,1,0
2009,21,avaí,flamengo,3,0
2009,21,corinthians,botafogo-rj,3,3
2009,21,cruzeiro,náutico,4,2
2009,21,fluminense,barueri,0,0
2009,21,goiás,santos,2,1
2009,21,grêmio,atlético-mg,4,1
2009,21,palmeiras,internacional,2,1
2009,21,santo andré,coritiba,1,0
2009,21,sport,vitória,2,0
2009,22,atlético-mg,sport,1,1
2009,22,barueri,corinthians,2,2
2009,22,botafogo-rj,grêmio,3,3
2009,22,coritiba,avaí,2,0
2009,22,flamengo,santo andré,3,0
2009,22,internacional,goiás,4,0
2009,22,náutico,athlético-pr,3,0
2009,22,santos,fluminense,2,0
2009,22,são paulo,palmeiras,0,0
2009,22,vitória,cruzeiro,3,3
2009,23,athlético-pr,flamengo,0,0
2009,23,avaí,internacional,0,2
2009,23,corinthians,santos,2,1
2009,23,cruzeiro,são paulo,1,2
2009,23,fluminense,náutico,1,1
2009,23,goiás,coritiba,2,2
2009,23,grêmio,vitória,1,1
2009,23,palmeiras,barueri,2,1
2009,23,santo andré,atlético-mg,1,2
2009,23,sport,botafogo-rj,2,1
2009,24,atlético-mg,athlético-pr,2,1
2009,24,barueri,goiás,3,1
2009,24,botafogo-rj,fluminense,0,0
2009,24,coritiba,corinthians,1,1
2009,24,flamengo,sport,3,0
2009,24,internacional,cruzeiro,2,3
2009,24,náutico,grêmio,0,2
2009,24,santos,santo andré,1,0
2009,24,são paulo,avaí,2,0
2009,24,vitória,palmeiras,3,2
2009,25,athlético-pr,sport,1,0
2009,25,avaí,barueri,4,0
2009,25,corinthians,goiás,1,4
2009,25,cruzeiro,palmeiras,1,2
2009,25,flamengo,coritiba,3,0
2009,25,grêmio,fluminense,5,1
2009,25,náutico,atlético-mg,0,0
2009,25,santo andré,são paulo,1,1
2009,25,santos,botafogo-rj,0,0
2009,25,vitória,internacional,2,0
2009,26,atlético-mg,santos,3,1
2009,26,barueri,cruzeiro,0,1
2009,26,botafogo-rj,vitória,1,3
2009,26,coritiba,náutico,2,0
2009,26,fluminense,avaí,3,2
2009,26,goiás,grêmio,2,1
2009,26,internacional,flamengo,0,0
2009,26,palmeiras,athlético-pr,2,1
2009,26,sport,santo andré,2,1
2009,26,são paulo,corinthians,1,1
2009,27,atlético-mg,barueri,2,1
2009,27,avaí,cruzeiro,2,2
2009,27,corinthians,athlético-pr,1,3
2009,27,coritiba,internacional,2,0
2009,27,flamengo,fluminense,2,0
2009,27,goiás,botafogo-rj,1,3
2009,27,grêmio,sport,3,3
2009,27,náutico,são paulo,1,2
2009,27,santo andré,vitória,1,0
2009,27,santos,palmeiras,1,3
2009,28,athlético-pr,grêmio,0,0
2009,28,barueri,santo andré,0,0
2009,28,botafogo-rj,atlético-mg,3,1
2009,28,cruzeiro,goiás,3,0
2009,28,fluminense,corinthians,1,1
2009,28,internacional,náutico,3,1
2009,28,palmeiras,avaí,2,2
2009,28,sport,santos,0,1
2009,28,são paulo,coritiba,2,2
2009,28,vitória,flamengo,3,3
2009,29,atlético-mg,cruzeiro,0,1
2009,29,botafogo-rj,avaí,2,2
2009,29,corinthians,grêmio,2,1
2009,29,coritiba,barueri,1,2
2009,29,flamengo,são paulo,2,1
2009,29,goiás,sport,1,1
2009,29,internacional,athlético-pr,1,1
2009,29,náutico,palmeiras,3,0
2009,29,santo andré,fluminense,1,2
2009,29,santos,vitória,0,0
2009,30,athlético-pr,santo andré,3,0
2009,30,avaí,goiás,2,1
2009,30,barueri,santos,0,0
2009,30,cruzeiro,botafogo-rj,1,0
2009,30,fluminense,internacional,2,2
2009,30,grêmio,coritiba,2,0
2009,30,palmeiras,flamengo,0,2
2009,30,sport,corinthians,2,0
2009,30,são paulo,atlético-mg,0,1
2009,30,vitória,náutico,3,1
2009,31,atlético-mg,vitória,1,0
2009,31,avaí,sport,2,2
2009,31,botafogo-rj,flamengo,0,1
2009,31,corinthians,cruzeiro,0,1
2009,31,coritiba,athlético-pr,3,2
2009,31,goiás,fluminense,2,2
2009,31,internacional,grêmio,1,0
2009,31,náutico,barueri,2,1
2009,31,santo andré,palmeiras,2,0
2009,31,santos,são paulo,3,4
2009,32,athlético-pr,santos,1,1
2009,32,barueri,flamengo,2,0
2009,32,botafogo-rj,náutico,1,0
2009,32,cruzeiro,santo andré,3,2
